id;user_id;place_id;first_checkin_at;last_checkin_at;count_checkins;created_at;deleted_at;visited_at;updated_at
6676;5764;4;07/10/2021 18:09;07/10/2021 18:09;1;07/10/2021 18:09;NULL;07/10/2021 18:09;07/10/2021 18:09
6677;12696;93;07/10/2021 18:13;07/10/2021 18:51;2;07/10/2021 18:13;NULL;07/10/2021 18:13;07/10/2021 18:51
6678;27232;380;07/10/2021 18:18;07/10/2021 19:29;2;07/10/2021 18:18;NULL;07/10/2021 18:18;07/10/2021 19:29
6679;16462;35;07/10/2021 18:18;07/10/2021 18:18;1;07/10/2021 18:18;NULL;07/10/2021 18:18;07/10/2021 18:18
6680;11781;721;07/10/2021 18:22;07/10/2021 18:22;2;07/10/2021 18:22;NULL;07/10/2021 18:22;07/10/2021 18:22
6681;26761;380;07/10/2021 18:29;07/10/2021 18:29;3;07/10/2021 18:29;NULL;07/10/2021 18:29;07/10/2021 18:29
6682;19300;18;07/10/2021 18:37;07/10/2021 18:37;1;07/10/2021 18:37;NULL;07/10/2021 18:37;07/10/2021 18:37
6683;29614;1838;07/10/2021 18:53;07/10/2021 18:53;1;07/10/2021 18:53;NULL;07/10/2021 18:53;07/10/2021 18:53
6684;25736;27;07/10/2021 18:56;07/10/2021 18:56;1;07/10/2021 18:56;NULL;07/10/2021 18:56;07/10/2021 18:56
6685;21474;750;07/10/2021 19:05;07/10/2021 19:05;1;07/10/2021 19:05;NULL;07/10/2021 19:05;07/10/2021 19:05
6686;25998;380;07/10/2021 19:07;07/10/2021 19:07;1;07/10/2021 19:07;NULL;07/10/2021 19:07;07/10/2021 19:07
6687;26277;18;07/10/2021 19:08;07/10/2021 19:08;1;07/10/2021 19:08;NULL;07/10/2021 19:08;07/10/2021 19:08
6688;26428;38;07/10/2021 19:14;07/10/2021 19:14;1;07/10/2021 19:14;NULL;07/10/2021 19:14;07/10/2021 19:14
6689;26047;97;07/10/2021 19:18;07/10/2021 19:18;1;07/10/2021 19:18;NULL;07/10/2021 19:18;07/10/2021 19:18
6690;25720;380;07/10/2021 19:19;07/10/2021 19:19;1;07/10/2021 19:19;NULL;07/10/2021 19:19;07/10/2021 19:19
6691;27026;49;07/10/2021 19:19;07/10/2021 19:19;1;07/10/2021 19:19;NULL;07/10/2021 19:19;07/10/2021 19:19
6692;26758;87;07/10/2021 19:24;07/10/2021 19:24;1;07/10/2021 19:24;NULL;07/10/2021 19:24;07/10/2021 19:24
6693;28737;186;07/10/2021 19:29;07/10/2021 19:29;1;07/10/2021 19:29;NULL;07/10/2021 19:29;07/10/2021 19:29
6694;30570;380;07/10/2021 19:33;07/10/2021 19:33;1;07/10/2021 19:33;NULL;07/10/2021 19:33;07/10/2021 19:33
6695;3268;142;07/10/2021 19:37;07/10/2021 19:37;1;07/10/2021 19:37;NULL;07/10/2021 19:37;07/10/2021 19:37
6696;1584;18;07/10/2021 19:45;07/10/2021 19:45;1;07/10/2021 19:45;NULL;07/10/2021 19:45;07/10/2021 19:45
6697;25799;4;07/10/2021 19:46;07/10/2021 19:46;1;07/10/2021 19:46;NULL;07/10/2021 19:46;07/10/2021 19:46
6698;5448;4;07/10/2021 19:47;07/10/2021 19:47;1;07/10/2021 19:47;NULL;07/10/2021 19:47;07/10/2021 19:47
6699;28350;200;07/10/2021 19:51;07/10/2021 20:09;3;07/10/2021 19:51;NULL;07/10/2021 19:51;07/10/2021 20:09
6700;12475;268;07/10/2021 20:01;07/10/2021 20:01;1;07/10/2021 20:01;NULL;07/10/2021 20:01;07/10/2021 20:01
6701;27180;143;07/10/2021 20:18;07/10/2021 20:18;1;07/10/2021 20:18;NULL;07/10/2021 20:18;07/10/2021 20:18
6702;30604;6535;07/10/2021 20:30;07/10/2021 20:30;1;07/10/2021 20:30;NULL;07/10/2021 20:30;07/10/2021 20:30
6703;14089;93;07/10/2021 20:56;07/10/2021 20:56;1;07/10/2021 20:56;NULL;07/10/2021 20:56;07/10/2021 20:56
6704;27557;380;07/10/2021 20:58;07/10/2021 20:58;1;07/10/2021 20:58;NULL;07/10/2021 20:58;07/10/2021 20:58
